X-0.051302,Y0.051302,R1132.632080
X-0.049336,Y0.049336,R1132.567993
X-0.049148,Y0.049148,R1132.561768
X-0.049149,Y0.049149,R1132.561768
X-0.050559,Y0.050559,R1132.607788
X-0.050560,Y0.050560,R1132.607788
X-0.050560,Y0.050560,R1132.607788
X-0.051248,Y0.051248,R1132.630249
X-0.050734,Y0.050734,R1132.613403
X-0.050737,Y0.050737,R1132.613403
X-0.050837,Y0.050837,R1132.616577
X-0.050838,Y0.050838,R1132.616577
X-0.050839,Y0.050839,R1132.616577
X-0.050145,Y0.050145,R1132.593994
X-0.049512,Y0.049512,R1132.573364
X-0.049514,Y0.049514,R1132.573364
X-0.049517,Y0.049517,R1132.573364
X-0.050418,Y0.050418,R1132.602661
X-0.052394,Y0.052394,R1132.666992
X-0.052394,Y0.052394,R1132.666992
X-0.052031,Y0.052031,R1132.655151
X-0.052032,Y0.052032,R1132.655151
X-0.049922,Y0.049922,R1132.586304
X-0.049921,Y0.049921,R1132.586304
X-0.048732,Y0.048732,R1132.547485
X-0.048730,Y0.04.190552
X-0.034652,Y0.034652,R1132.088623
X-0.034654,Y0.034654,R1132.088623
X-0.025808,Y0.025808,R1131.799805
X-0.025806,Y0.025806,R1131.799805
X-0.016361,Y0.016361,R1131.491699
X-0.016359,Y0.016359,R1131.491699
X-0.06,R1053.147095
X-5.829289,Y-3.217442,R1043.711304
X-6.738155,Y-3.679099,R1033.983887
X-6.738157,Y-3.679097,R1033.983887
X-6.738158,Y-3.679096,R1033.983887
X-7.033186,Y-4.076528,R1023.957397
X-7.921904,Y-4.587129,R1013.,Y-15.611208,R819.785583
X-18.620497,Y-15.827263,R812.735413
X-18.620499,Y-15.827261,R812.735413
X-18.956741,Y-16.304731,R805.826843
X-18.956739,Y-16.304733,R805.826843
X-19.293560,Y-16.784256,R799.020142
X-19.293558,Y,Y-27.028189,R631.707458
X-21.707150,Y-27.028191,R631.707458
X-21.897125,Y-27.696745,R622.781921
X-21.624981,Y-27.968889,R613.901489
X-21.624981,Y-27.968889,R613.901489
X-22.260508,Y-29.053274,R605.034790
X-22.260506,Y
X-24.638176,Y-41.526627,R426.463318
X-24.712269,Y-42.295780,R417.981476
X-24.712269,Y-42.295780,R417.981476
X-24.451258,Y-42.556793,R409.464233
X-24.451258,Y-42.556793,R409.464233
X-24.192715,Y-42.815334,R401.027618
7
X-21.307625,Y-45.373581,R244.691757
X-21.307625,Y-45.373581,R244.691757
X-21.060024,Y-45.621181,R236.612152
X-21.203472,Y-45.097450,R228.618561
X-21.203470,Y-45.097450,R228.618561
X-20.771458,Y-44.765186,R220.5130920481
X-14.219673,Y-39.330746,R89.360481
X-13.828256,Y-38.375046,R81.052757
X-13.828257,Y-38.375046,R81.052757
X-12.848893,Y-37.475220,R72.881828
X-12.848894,Y-37.475220,R72.881828
X-11.883797,Y-36.566006,R64.751060
X-11.883798,Y-36.566006,R64.751060
X-10.884308,Y-35.041325,R56.631783
X-10.884308,Y-35.041325,R56.631783
X-10.884308,Y-35.041325,R56.631783
X-9.909628,Y-33.503281,R48.681633
X-9.599255,Y-32.528618,R40.805012
X-9.599256,Y-32.528618,R40.805012
X-9.599257,Y-32.528618,R40.805012
X-8.639013,Y-30.363443,R32.960232
X-7.752484,Y-29.402716,R25.287359
X-7.752485,Y-29.402716,R25.287359
X-6.852516,Y-27.213585,R17.745506
X-6.852515,Y-27.213585,R17.745506
X-6.000572,Y-26.229931,R10.389319
X-6.000572,Y-26.229931,R10.389319
X-4.546829,Y-24.024578,R3.030934
X-4.546829,Y-24.024578,R3.030934
X-3.732374,Y-22.409847,R-4.005383
X-3.732373,Y-22.409847,R-4.005383
X-2.955530,Y-20.169077,R-10.661584
X-2.955530,Y-20.169077,R-10.661584
X-1.588392,Y-18.506388,R-16.941950
X-1.588391,Y-18.506390,R-16.941950
